id,level,word,word_reading,meaning,sentence_jp,sentence_en
"JLPT Tango N1 item 0036<br>世界遺産=World Heritage (cultural, natural, etc.)",N1,遺産[2],遺産[いさん],inheritance/heritage,いつか海外の世界遺産を巡りたい。,I want to travel around the world to visit World Heritage sites.
JLPT Tango N1 item 0037,N1,掛け替えのない,掛[か]け 替[が]えのない,invaluable;&nbsp;irreplaceableそれだけしかない、大切な。ほかに代わるもののない。,彼は私にとって掛け替えのない存在だ。,He is an invaluable person to me.
JLPT Tango N1 item 0038,N1,気が置けない,気[き]が 置[お]けない,easy to get along with気遣いする必要がない、打ち解けて付き合える、といった意味の表現。「気の置けない（気のおけない）」ともいう。,気が置けない仲間と過ごす時間が一番だ。,Spending time with close friends is the best.
JLPT Tango N1 item 0039,N1,気心,気心[きごころ],temper; disposition,彼女とは気心が知れた仲だ。,She is a friend who knows my disposition well.
JLPT Tango N1 item 0040,N1,打ち明ける,打[う]ち 明[あ]ける,confess,親友にだけ悩みを打ち明けた。,I shared my problems only with my best friend.
JLPT Tango N1 item 0041,N1,察する,察[さっ]する,sense事情などをおしはかって考える。思いやる。,友人は私の気持ちを察して、何も聞かなかった。,My friend sensed how I felt and didn't ask about anything.
JLPT Tango N1 item 0042,N1,同い年,同[おな]い 年[どし],same age,彼は私と同い年とは思えないくらい若い。,He looks so young that you wouldn't think that we are the same age.
JLPT Tango N1 item 0043,N1,連中,連中[れんちゅう],group,もうあんな連中と付き合うのは辞めよう。,Let's stop hanging out with people like that.
JLPT Tango N1 item 0044,N1,呼び捨て,呼[よ]び 捨[す]て,"""calling someone without honorifics;&nbsp;addressing (someone) without using a suffix such as """"-san"""" or """"-chan"""" (considered impolite).""",あんな人に呼び捨てにされたくない。,I don't want someone like him referring to me so rudely.
JLPT Tango N1 item 0045,N1,身の上,身[み]の 上[うえ],circumstances❶その人の生まれてからのありさま。人のきょうぐう。人のくらし。❷一生の運命。,お酒を飲みながら、お互いの身の上を話した。,We shared our life stories over drinks.
JLPT Tango N1 item 0046,N1,徹する,徹[てっ]する,devote oneself to,友達との飲み会では、私は聞き役に徹する。,I'm always the listener when I go drinking with my friends.
JLPT Tango N1 item 0047,N1,踏み躙る,踏[ふ]み 躙[にじ]る,1. (literally) to trample underfoot; to tread on; to crush with a foot​2. violate,大切な友人の思いを踏み躙ってしまった。,I violated the feelings of my dear friend.
JLPT Tango N1 item 0048,N1,気に障る,気[き] に 障[さわ]る,to hurt one's feelings; to rub someone the wrong way不快に感じる。感情を害する。,あいつは時々、人の気に障ることを言う。,He sometimes says things that annoy people.
JLPT Tango N1 item 0049,N1,決まり悪い,決[き]まり 悪[わる]い,feel embarrassed。体裁が悪く恥ずかしい。気恥ずかしい。きまりがわるい。,小さなことで腹を立てて、決まり悪い。,I feel embarrassed for getting mad at nothing.
JLPT Tango N1 item 0050,N1,高が,高[たか]が,［副］数量・程度などが取るに足りない、問題にするほどのことはないという気持ちを表す。「たかが一度の失敗でくよくよするな」,友達からお金を借りたら、高が100円でも返すべきだ。,"If you borrow money from your friend, you should return it, even if it's only 100 yen."
JLPT Tango N1 item 0051,N1,庇う,庇[かば]う,protect,親友はどんな時でも私を庇ってくれる。,A true friend will protect you any time.
JLPT Tango N1 item 0052,N1,敢えて[2],敢[あ]えて,purposely,友達だからこそ、敢えて厳しい忠告もする。,I'm being hard on you purposely because I'm your friend.
JLPT Tango N1 item 0053,N1,頻繁,頻繁[ひんぱん],frequent,大学時代の友人たちと頻繁に集まっている。,I often get together with my friends from my college days.
JLPT Tango N1 item 0054<br>Suspend this card if you don't need to learn katakana-words.,N1,タイミング,タイミング,timing,友達を食事に誘ったが、タイミングが悪く断られた。,"I invited a friend for a meal, but the timing was bad, so she declined."
JLPT Tango N1 item 0055,N1,じゃん拳,じゃん 拳[けん],rock-paper-scissors,今度の飲み会の幹事を、じゃん拳で決めよう。,"Let's pick the organizer of the next drinking parly by rock, paper scissors."
JLPT Tango N1 item 0056,N1,相子,相子[あいこ],draw; tie互いに勝ち負け・損得がないこと。,何回ジャン拳しても相子で、勝負がつかない。,"We keep ending in a tie no matter how many times we play rock, paper, scissors."
JLPT Tango N1 item 0057.1,N1,繋がる,繋[つな]がる,to connect,SNSで、音信不通だった友人と繋がるようになった。,I reconnected with a friend I lost contact through social network.
JLPT Tango N1 item 0057.2,N1,繋がる,繋[つな]がる,to connect,友達に電話しているか、中々繋がらない。,I keep calling my friend but he doesn't pick up.
JLPT Tango N1 item 0058,N1,矢鱈,矢鱈[やたら],"""profuse/profusely。一 （形動）秩序や節度のないさま。筋が通らないさま。むちゃくちゃ。むやみ。みだり。「―な事を言うな」「―に買い込む」二 （副）秩序や節度がなく，程度がはなはだしいさま。ひどく。「―（と）騒ぐ」""",彼はお酒を飲むと、矢鱈と煩い。,He starts to whine profusely when he drinks alcohol.
JLPT Tango N1 item 0059,N1,嘸,嘸[さぞ],must be［副］《推量の表現を伴って》自分では直接経験していないものについて推量する気持ちを表す。きっと。どんなにか。さだめし。,彼女の服は全部ブランド品だ。嘸お金持ちなのだろう。,All of her clothes are brand-name. She must be rich.
JLPT Tango N1 item 0060,N1,抑々,抑々[そもそも],"""to start with。一 （名）（物事の）最初。起こり。どだい。副詞的にも用いる。「―は僕が始めたものだ」「―の始まり」二 （接続）改めて説き起こすとき，文頭に用いる語。いったい。だいたい。「―，事前調査の不備がこのような事態を招いた」「―私の今日あるは彼のおかげだ」""",また友達と喧嘩した。抑々、彼の一言が原因だ。,I fought with my friend again. But it was something he said that triggered the fight in the first place.
JLPT Tango N1 item 0061,N1,よもや,よもや,"""never imagine。① （下に打ち消しの語を伴って）可能性が皆無ではないが，いくらなんでもそのような事態は起こらないだろうと予想する気持ちを表す。まさか。② きっと。たぶん。おそらく。""",彼女が恋人になるとはよもや思わなかった。,I never imagined that she would become my girlfriend.
JLPT Tango N1 item 0062.1,N1,縁[1],縁[えん],fate/ties,彼女とはバイトが縁で知り合った。,I met her at a part-time job.
JLPT Tango N1 item 0062.2,N1,縁[2],縁[えん],fate/ties,あんな人とは今すぐにでも縁を切りたい。,I would want to cut ties with someone like that immediately.
JLPT Tango N1 item 0063,N1,一見,一見[いっけん],appearance/at first glance,あの人は一見怖そうだが、面白い人だ。,"At first glance, he may appear frightening, but he is actually a funny person."
JLPT Tango N1 item 0064,N1,恐縮,恐縮[きょうしゅく],feeling obliged,態々お電話を頂き、恐縮です。,Thank you so much for taking the time to call me.
